Date,Passenger_Count,Screened traffic
4/1/2019,20740,Transborder sector passengers
8/1/2019,19862,Transborder sector passengers
12/1/2019,11592,Transborder sector passengers
2/1/2019,14306,Transborder sector passengers
1/1/2019,10764,Transborder sector passengers
7/1/2019,18823,Transborder sector passengers
6/1/2019,14756,Transborder sector passengers
3/1/2019,20014,Transborder sector passengers
5/1/2019,11352,Transborder sector passengers
11/1/2019,9686,Transborder sector passengers
10/1/2019,17012,Transborder sector passengers
9/1/2019,17164,Transborder sector passengers
4/1/2020,,Transborder sector passengers
8/1/2020,,Transborder sector passengers
12/1/2020,,Transborder sector passengers
2/1/2020,15414,Transborder sector passengers
1/1/2020,10420,Transborder sector passengers
7/1/2020,,Transborder sector passengers
6/1/2020,,Transborder sector passengers
3/1/2020,7869,Transborder sector passengers
5/1/2020,,Transborder sector passengers
11/1/2020,,Transborder sector passengers
10/1/2020,,Transborder sector passengers
9/1/2020,,Transborder sector passengers
4/1/2021,,Transborder sector passengers
8/1/2021,,Transborder sector passengers
12/1/2021,770,Transborder sector passengers
2/1/2021,,Transborder sector passengers
1/1/2021,,Transborder sector passengers
7/1/2021,,Transborder sector passengers
6/1/2021,,Transborder sector passengers
3/1/2021,,Transborder sector passengers
5/1/2021,,Transborder sector passengers
11/1/2021,101,Transborder sector passengers
10/1/2021,,Transborder sector passengers
9/1/2021,,Transborder sector passengers
4/1/2022,965,Transborder sector passengers
8/1/2022,6818,Transborder sector passengers
12/1/2022,6537,Transborder sector passengers
2/1/2022,329,Transborder sector passengers
1/1/2022,491,Transborder sector passengers
7/1/2022,5630,Transborder sector passengers
6/1/2022,2865,Transborder sector passengers
3/1/2022,1836,Transborder sector passengers
5/1/2022,647,Transborder sector passengers
11/1/2022,3700,Transborder sector passengers
10/1/2022,6305,Transborder sector passengers
9/1/2022,5891,Transborder sector passengers
4/1/2023,11537,Transborder sector passengers
8/1/2023,9347,Transborder sector passengers
12/1/2023,8364,Transborder sector passengers
2/1/2023,8677,Transborder sector passengers
1/1/2023,6534,Transborder sector passengers
7/1/2023,9373,Transborder sector passengers
6/1/2023,7891,Transborder sector passengers
3/1/2023,11976,Transborder sector passengers
5/1/2023,4899,Transborder sector passengers
11/1/2023,8043,Transborder sector passengers
10/1/2023,8972,Transborder sector passengers
9/1/2023,7964,Transborder sector passengers
4/1/2024,12640,Transborder sector passengers
8/1/2024,21695,Transborder sector passengers
12/1/2024,13376,Transborder sector passengers
2/1/2024,10364,Transborder sector passengers
1/1/2024,8677,Transborder sector passengers
7/1/2024,18978,Transborder sector passengers
6/1/2024,14113,Transborder sector passengers
3/1/2024,12673,Transborder sector passengers
5/1/2024,7242,Transborder sector passengers
11/1/2024,10850,Transborder sector passengers
