Mode of entry,Month/Year,Visitor Origin,Country,Number of Visitors (Rounded to nearest hundred)
Air,9/1/2025,Pacific,United States,2600
Air,9/1/2025,Mountain,United States,1200
Air,9/1/2025,West South Central,United States,800
Air,9/1/2025,East South Central,United States,400
Air,9/1/2025,South Atlantic,United States,2900
Air,9/1/2025,Germany,Overseas,3000
Air,9/1/2025,West North Central,United States,1200
Air,9/1/2025,East North Central,United States,1600
Air,9/1/2025,Middle Atlantic,United States,3600
Air,9/1/2025,New England (inc Maine),United States,900
Air,9/1/2025,Western Canada,Canada,30500
Air,9/1/2025,Ontario,Canada,42000
Air,9/1/2025,Quebec,Canada,2000
Air,9/1/2025,Other Europe,Overseas,2400
Air,9/1/2025,Other Overseas,Overseas,2000
Air,9/1/2025,United Kingdom,Overseas,4600
Air,9/1/2025,Atlantic Canada,Canada,6800
Air,8/1/2025,Quebec,Canada,2700
Air,8/1/2025,Atlantic Canada,Canada,3800
Air,8/1/2025,Other Overseas,Overseas,3500
Air,8/1/2025,Other Europe,Overseas,6500
Air,8/1/2025,Germany,Overseas,5300
Air,8/1/2025,United Kingdom,Overseas,4600
Air,8/1/2025,Pacific,United States,2500
Air,8/1/2025,Mountain,United States,1400
Air,8/1/2025,West South Central,United States,1900
Air,8/1/2025,East South Central,United States,700
Air,8/1/2025,South Atlantic,United States,4500
Air,8/1/2025,West North Central,United States,500
Air,8/1/2025,East North Central,United States,1800
Air,8/1/2025,Middle Atlantic,United States,3300
Air,8/1/2025,New England (inc Maine),United States,1800
Air,8/1/2025,Western Canada,Canada,38200
Air,8/1/2025,Ontario,Canada,63100
Air,7/1/2025,Other Overseas,Overseas,4400
Air,7/1/2025,Other Europe,Overseas,4200
Air,7/1/2025,Germany,Overseas,1600
Air,7/1/2025,United Kingdom,Overseas,4800
Air,7/1/2025,Pacific,United States,1800
Air,7/1/2025,Mountain,United States,1400
Air,7/1/2025,West South Central,United States,1100
Air,7/1/2025,East South Central,United States,800
Air,7/1/2025,South Atlantic,United States,6300
Air,7/1/2025,West North Central,United States,800
Air,7/1/2025,East North Central,United States,2700
